symbol,rule_variant,target_variant,target_ratio,observations,eligible_setups,entries,wins,losses,no_entry,win_rate_pct,average_return_pct,total_return_pct,profit_factor,expectancy_pct,maximum_drawdown_pct_points
PINS,MANIPULATION,NON_FIB_CONTROL,0.486389,52,48,27,8,19,21,29.629629629629626,-0.03679825925925925,-0.9935529999999999,0.9003806089944443,-0.03679825925925925,4.838751
PINS,RED_AND_MANIPULATION,FIB_38_2,0.382,52,23,19,6,13,4,31.57894736842105,-0.033755789473684204,-0.6413599999999999,0.9060059275356351,-0.033755789473684204,1.927306
PINS,RED_AND_MANIPULATION,FIB_50_0,0.5,52,23,19,6,13,4,31.57894736842105,0.07650142105263157,1.4535269999999998,1.2130206470109002,0.07650142105263157,1.9273060000000002
PINS,RED_AND_MANIPULATION,FIB_61_8,0.618,52,23,19,2,17,4,10.526315789473683,-0.37671978947368423,-7.157676,0.26594360513895554,-0.37671978947368423,7.88558
PINS,RED_AND_MANIPULATION,NON_FIB_CONTROL,0.486389,52,23,19,5,14,4,26.31578947368421,-0.12918884210526316,-2.454588,0.6709637126670475,-0.12918884210526316,4.100598
PINS,RED_CANDLE,FIB_38_2,0.382,52,24,20,6,14,4,30.0,-0.047321550000000004,-0.946431,0.8672324254258973,-0.047321550000000004,2.1073209999999998
PINS,RED_CANDLE,FIB_50_0,0.5,52,24,20,6,14,4,30.0,0.057422799999999996,1.148456,1.1611081184207572,0.057422799999999996,1.9273060000000002
PINS,RED_CANDLE,FIB_61_8,0.618,52,24,20,2,18,4,10.0,-0.37313735000000003,-7.462747,0.25787555673650675,-0.37313735000000003,8.190651
PINS,RED_CANDLE,NON_FIB_CONTROL,0.486389,52,24,20,5,15,4,25.0,-0.13798295,-2.759659,0.6446029247642177,-0.13798295,4.405669
PINS,RED_MANIPULATION_ATR_RATIO_0_30,FIB_38_2,0.382,52,22,18,6,12,4,33.33333333333333,-0.014802277777777777,-0.266441,0.9586816448501898,-0.014802277777777777,1.927306
PINS,RED_MANIPULATION_ATR_RATIO_0_30,FIB_50_0,0.5,52,22,18,6,12,4,33.33333333333333,0.10158033333333333,1.828446,1.2835463806255418,0.10158033333333333,1.9273060000000002
PINS,RED_MANIPULATION_ATR_RATIO_0_30,FIB_61_8,0.618,52,22,18,2,16,4,11.11111111111111,-0.37681983333333335,-6.782757,0.2765779921232381,-0.37681983333333335,7.510661
PINS,RED_MANIPULATION_ATR_RATIO_0_30,NON_FIB_CONTROL,0.486389,52,22,18,5,13,4,27.77777777777778,-0.11553716666666666,-2.079669,0.7064692339264916,-0.11553716666666666,4.100598
PINS,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_38_2,0.382,52,19,15,6,9,4,40.0,0.09027493333333333,1.354124,1.2804774307803044,0.09027493333333333,1.4839980000000002
PINS,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_50_0,0.5,52,19,15,6,9,4,40.0,0.22993406666666666,3.449011,1.714387858137813,0.22993406666666666,1.4839980000000002
PINS,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_61_8,0.618,52,19,15,2,13,4,13.333333333333334,-0.3441461333333333,-5.162192,0.3343718396893816,-0.3441461333333333,5.890095999999999
PINS,RED_MANIPULATION_MIN_5_NEW_LOWS,NON_FIB_CONTROL,0.486389,52,19,15,5,10,4,33.33333333333333,-0.03060693333333333,-0.45910399999999996,0.9159834471813891,-0.03060693333333333,2.575276
PINS,RED_MANIPULATION_MIN_8_RED,FIB_38_2,0.382,52,22,18,6,12,4,33.33333333333333,0.010596277777777777,0.19073299999999999,1.0318349090583772,0.010596277777777777,1.9273060000000002
PINS,RED_MANIPULATION_MIN_8_RED,FIB_50_0,0.5,52,22,18,6,12,4,33.33333333333333,0.12697888888888886,2.2856199999999998,1.3814888081349739,0.12697888888888886,1.9273060000000002
PINS,RED_MANIPULATION_MIN_8_RED,FIB_61_8,0.618,52,22,18,2,16,4,11.11111111111111,-0.35142127777777776,-6.325583,0.29075532921616903,-0.35142127777777776,7.053487
PINS,RED_MANIPULATION_MIN_8_RED,NON_FIB_CONTROL,0.486389,52,22,18,5,13,4,27.77777777777778,-0.09013861111111111,-1.622495,0.7551999611336306,-0.09013861111111111,3.4119659999999996
PLTR,ALL_COMPLETE,FIB_38_2,0.382,104,104,66,16,50,38,24.242424242424242,-0.2588307878787879,-17.082832,0.39017410641582567,-0.2588307878787879,17.741687999999996
PLTR,ALL_COMPLETE,FIB_50_0,0.5,104,104,66,13,53,38,19.696969696969695,-0.26850730303030307,-17.721482,0.3994586769269766,-0.26850730303030307,18.221294999999994
PLTR,ALL_COMPLETE,FIB_61_8,0.618,104,104,66,11,55,38,16.666666666666664,-0.26153486363636363,-17.261301,0.4302683718907944,-0.26153486363636363,19.016108000000003
PLTR,ALL_COMPLETE,NON_FIB_CONTROL,0.463769,104,104,66,13,53,38,19.696969696969695,-0.26051812121212126,-17.194196,0.4133068768255685,-0.26051812121212126,18.366403
PLTR,MANIPULATION,FIB_38_2,0.382,104,96,60,13,47,36,21.666666666666668,-0.2862602833333333,-17.175617,0.36601751530094523,-0.2862602833333333,17.425804
PLTR,MANIPULATION,FIB_50_0,0.5,104,96,60,11,49,36,18.333333333333332,-0.28833353333333334,-17.300012,0.38726120470030534,-0.28833353333333334,17.799825
PLTR,MANIPULATION,FIB_61_8,0.618,104,96,60,10,50,36,16.666666666666664,-0.2706646166666667,-16.239877,0.4345776097374272,-0.2706646166666667,18.348943
PLTR,MANIPULATION,NON_FIB_CONTROL,0.463769,104,96,60,12,48,36,20.0,-0.2640906833333333,-15.845441,0.42860994603552344,-0.2640906833333333,17.371907
PLTR,RED_AND_MANIPULATION,FIB_38_2,0.382,104,44,38,7,31,6,18.421052631578945,-0.3500125789473684,-13.300478,0.3012061536411709,-0.3500125789473684,13.300478
PLTR,RED_AND_MANIPULATION,FIB_50_0,0.5,104,44,38,5,33,6,13.157894736842104,-0.3921645789473684,-14.902254,0.2613783806529835,-0.3921645789473684,14.902254
PLTR,RED_AND_MANIPULATION,FIB_61_8,0.618,104,44,38,5,33,6,13.157894736842104,-0.3599178947368421,-13.67688,0.3221133357937113,-0.3599178947368421,13.98958
PLTR,RED_AND_MANIPULATION,NON_FIB_CONTROL,0.463769,104,44,38,6,32,6,15.789473684210526,-0.34794802631578947,-13.222025,0.32791838132635276,-0.34794802631578947,13.57486
PLTR,RED_CANDLE,FIB_38_2,0.382,104,48,40,8,32,8,20.0,-0.332863775,-13.314551,0.3118495492682205,-0.332863775,13.314551
PLTR,RED_CANDLE,FIB_50_0,0.5,104,48,40,6,34,8,15.0,-0.369813675,-14.792547,0.27808120963971916,-0.369813675,14.792546999999999
PLTR,RED_CANDLE,FIB_61_8,0.618,104,48,40,5,35,8,12.5,-0.357300525,-14.292021,0.31258295996090213,-0.357300525,14.604721
PLTR,RED_CANDLE,NON_FIB_CONTROL,0.463769,104,48,40,6,34,8,15.0,-0.34592915,-13.837166,0.3179759413071046,-0.34592915,14.190000999999999
PLTR,RED_MANIPULATION_ATR_RATIO_0_30,FIB_38_2,0.382,104,40,34,7,27,6,20.588235294117645,-0.3477096176470588,-11.822127,0.32657130155929365,-0.3477096176470588,11.822127
PLTR,RED_MANIPULATION_ATR_RATIO_0_30,FIB_50_0,0.5,104,40,34,5,29,6,14.705882352941178,-0.3948206764705882,-13.423903,0.282044824280752,-0.3948206764705882,13.423903
PLTR,RED_MANIPULATION_ATR_RATIO_0_30,FIB_61_8,0.618,104,40,34,5,29,6,14.705882352941178,-0.35878026470588237,-12.198529,0.34758191922935217,-0.35878026470588237,12.511229
PLTR,RED_MANIPULATION_ATR_RATIO_0_30,NON_FIB_CONTROL,0.463769,104,40,34,6,28,6,17.647058823529413,-0.34540217647058824,-11.743674,0.35456203862050956,-0.34540217647058824,12.096509
PLTR,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_38_2,0.382,104,27,23,5,18,4,21.73913043478261,-0.3629254347826087,-8.347285,0.34726498744777207,-0.3629254347826087,8.347284999999996
PLTR,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_50_0,0.5,104,27,23,3,20,4,13.043478260869565,-0.45260634782608694,-10.409946,0.2527201021704179,-0.45260634782608694,10.409946000000003
PLTR,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_61_8,0.618,104,27,23,3,20,4,13.043478260869565,-0.4193677391304348,-9.645458,0.3075990145616965,-0.4193677391304348,9.645458000000003
PLTR,RED_MANIPULATION_MIN_5_NEW_LOWS,NON_FIB_CONTROL,0.463769,104,27,23,4,19,4,17.391304347826086,-0.3712098695652174,-8.537827,0.3641740962048363,-0.3712098695652174,8.604970999999999
PLTR,RED_MANIPULATION_MIN_8_RED,FIB_38_2,0.382,104,35,32,5,27,3,15.625,-0.40753965625,-13.041269,0.24201866359039884,-0.40753965625,13.041269
PLTR,RED_MANIPULATION_MIN_8_RED,FIB_50_0,0.5,104,35,32,3,29,3,9.375,-0.47467065625,-15.189461,0.17212578880435625,-0.47467065625,15.189460999999998
PLTR,RED_MANIPULATION_MIN_8_RED,FIB_61_8,0.618,104,35,32,3,29,3,9.375,-0.45345321875,-14.510503,0.20913117159476416,-0.45345321875,14.609146999999998
PLTR,RED_MANIPULATION_MIN_8_RED,NON_FIB_CONTROL,0.463769,104,35,32,4,28,3,12.5,-0.42740459375,-13.676947,0.23357099803934184,-0.42740459375,13.676946999999998
RGTI,ALL_COMPLETE,FIB_38_2,0.382,106,106,78,19,59,28,24.358974358974358,-0.23781074358974358,-18.549238,0.5725217294633077,-0.23781074358974358,22.647374
RGTI,ALL_COMPLETE,FIB_50_0,0.5,106,106,78,17,61,28,21.794871794871796,-0.21592224358974357,-16.841935,0.6244217478621205,-0.21592224358974357,21.707465999999997
RGTI,ALL_COMPLETE,FIB_61_8,0.618,106,106,78,16,62,28,20.51282051282051,-0.15890291025641026,-12.394427,0.7258782497259098,-0.15890291025641026,19.433934999999998
RGTI,ALL_COMPLETE,NON_FIB_CONTROL,0.580036,106,106,78,17,61,28,21.794871794871796,-0.21293846153846155,-16.6092,0.6289917115079291,-0.21293846153846155,20.68186
RGTI,MANIPULATION,FIB_38_2,0.382,106,82,59,15,44,23,25.423728813559322,-0.2356030338983051,-13.900579,0.61841522254511,-0.2356030338983051,17.674851
RGTI,MANIPULATION,FIB_50_0,0.5,106,82,59,14,45,23,23.728813559322035,-0.19957976271186442,-11.775206,0.6854213779723852,-0.19957976271186442,16.155732
RGTI,MANIPULATION,FIB_61_8,0.618,106,82,59,14,45,23,23.728813559322035,-0.11521810169491525,-6.797868,0.8183926507811737,-0.11521810169491525,13.853399000000001
